 INFO  Accepting connections at http://localhost:3000
 HTTP  04/01/2025 14:41:50 172.20.10.3 GET /dashboard
 HTTP  04/01/2025 14:41:50 172.20.10.3 Returned 200 in 54 ms
 HTTP  04/01/2025 14:41:50 172.20.10.3 GET /static/js/main.e872a613.js
 HTTP  04/01/2025 14:41:50 172.20.10.3 GET /static/css/main.b81fdd7b.css
 HTTP  04/01/2025 14:41:50 172.20.10.3 Returned 200 in 20 ms
 HTTP  04/01/2025 14:41:50 172.20.10.3 Returned 304 in 19 ms
 HTTP  04/01/2025 14:41:50 172.20.10.3 GET /assets/light_off.png
 HTTP  04/01/2025 14:41:50 172.20.10.3 Returned 304 in 5 ms
 HTTP  04/01/2025 14:41:50 172.20.10.3 GET /favicon.ico
 HTTP  04/01/2025 14:41:50 172.20.10.3 Returned 200 in 9 ms
 HTTP  04/01/2025 14:41:50 172.20.10.3 GET /logo192.png
 HTTP  04/01/2025 14:41:50 172.20.10.3 Returned 304 in 5 ms
 HTTP  04/01/2025 14:41:50 172.20.10.3 GET /assets/light_on.png
 HTTP  04/01/2025 14:41:50 172.20.10.3 Returned 304 in 5 ms
 HTTP  04/01/2025 14:43:22 172.20.10.3 GET /dashboard
 HTTP  04/01/2025 14:43:22 172.20.10.3 Returned 200 in 19 ms
 HTTP  04/01/2025 14:43:22 172.20.10.3 GET /static/js/main.5fc4aef4.js
 HTTP  04/01/2025 14:43:22 172.20.10.3 GET /static/css/main.b81fdd7b.css
 HTTP  04/01/2025 14:43:22 172.20.10.3 Returned 304 in 20 ms
 HTTP  04/01/2025 14:43:22 172.20.10.3 Returned 200 in 36 ms
 HTTP  04/01/2025 14:43:23 172.20.10.3 GET /assets/light_off.png
 HTTP  04/01/2025 14:43:23 172.20.10.3 Returned 304 in 5 ms
 HTTP  04/01/2025 14:43:23 172.20.10.3 GET /favicon.ico
 HTTP  04/01/2025 14:43:23 172.20.10.3 Returned 200 in 5 ms
 HTTP  04/01/2025 14:43:23 172.20.10.3 GET /logo192.png
 HTTP  04/01/2025 14:43:23 172.20.10.3 Returned 304 in 4 ms
 HTTP  04/01/2025 14:43:23 172.20.10.3 GET /assets/light_on.png
 HTTP  04/01/2025 14:43:23 172.20.10.3 Returned 304 in 4 ms
 HTTP  04/01/2025 14:47:20 172.20.10.3 GET /dashboard
 HTTP  04/01/2025 14:47:20 172.20.10.3 Returned 200 in 8 ms
 HTTP  04/01/2025 14:47:20 172.20.10.3 GET /static/js/main.98a23923.js
 HTTP  04/01/2025 14:47:20 172.20.10.3 GET /static/css/main.b81fdd7b.css
 HTTP  04/01/2025 14:47:20 172.20.10.3 Returned 200 in 23 ms
 HTTP  04/01/2025 14:47:20 172.20.10.3 Returned 304 in 17 ms
 HTTP  04/01/2025 14:47:21 172.20.10.3 GET /assets/light_off.png
 HTTP  04/01/2025 14:47:21 172.20.10.3 Returned 304 in 13 ms
 HTTP  04/01/2025 14:47:21 172.20.10.3 GET /favicon.ico
 HTTP  04/01/2025 14:47:21 172.20.10.3 Returned 200 in 7 ms
 HTTP  04/01/2025 14:47:21 172.20.10.3 GET /logo192.png
 HTTP  04/01/2025 14:47:21 172.20.10.3 Returned 304 in 9 ms
 HTTP  04/01/2025 14:47:21 172.20.10.3 GET /assets/light_on.png
 HTTP  04/01/2025 14:47:21 172.20.10.3 Returned 304 in 5 ms
